time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-24 00:00:00+00:00,60,23,3,3
2026-04-25 00:00:00+00:00,70,28,1,1
2026-04-26 00:00:00+00:00,12,6,0,0
2026-04-27 00:00:00+00:00,31,13,0,0
2026-04-28 00:00:00+00:00,34,11,1,1
2026-04-29 00:00:00+00:00,34,13,0,0
2026-04-30 00:00:00+00:00,31,10,0,0
2026-05-01 00:00:00+00:00,41,10,2,2
2026-05-02 00:00:00+00:00,30,10,0,0
2026-05-03 00:00:00+00:00,36,11,0,0
2026-05-04 00:00:00+00:00,19,8,0,0
2026-05-05 00:00:00+00:00,37,13,0,0
2026-05-06 00:00:00+00:00,35,12,0,0
2026-05-07 00:00:00+00:00,17,6,0,0
