time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-05 00:00:00+00:00,20,11,0,0
2026-03-06 00:00:00+00:00,17,7,0,0
2026-03-07 00:00:00+00:00,14,8,0,0
2026-03-08 00:00:00+00:00,18,8,0,0
2026-03-09 00:00:00+00:00,13,7,1,1
2026-03-10 00:00:00+00:00,20,8,0,0
2026-03-11 00:00:00+00:00,20,9,3,1
2026-03-12 00:00:00+00:00,21,11,4,1
2026-03-13 00:00:00+00:00,12,6,0,0
2026-03-14 00:00:00+00:00,23,11,0,0
2026-03-15 00:00:00+00:00,20,10,0,0
2026-03-16 00:00:00+00:00,17,8,1,1
2026-03-17 00:00:00+00:00,7,7,0,0
2026-03-18 00:00:00+00:00,10,6,0,0
