time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-10 00:00:00+00:00,32,10,0,0
2026-04-11 00:00:00+00:00,9,7,0,0
2026-04-12 00:00:00+00:00,4,4,1,1
2026-04-13 00:00:00+00:00,40,12,0,0
2026-04-14 00:00:00+00:00,22,8,0,0
2026-04-15 00:00:00+00:00,29,14,0,0
2026-04-16 00:00:00+00:00,27,9,0,0
2026-04-17 00:00:00+00:00,19,8,1,1
2026-04-18 00:00:00+00:00,15,9,0,0
2026-04-19 00:00:00+00:00,38,18,0,0
2026-04-20 00:00:00+00:00,69,34,1,1
2026-04-21 00:00:00+00:00,51,25,0,0
2026-04-22 00:00:00+00:00,98,40,0,0
2026-04-23 00:00:00+00:00,83,25,0,0
